distinct,length
GD_perspire_Boundaries,8
GEZ_perspire_Boundaries,8
GHJ_perspire_Boundaries,9
GM_perspire_Boundaries,7
GMU_perspire_Boundaries,9
GPS_perspire_Boundaries,4
GTB_perspire_Boundaries,7
GWG_perspire_Boundaries,12
HI_perspire_Boundaries,10
HKD_perspire_Boundaries,20
HO_perspire_Boundaries,6
HBV_perspire_Boundaries,8
IA_perspire_Boundaries,4
IB_perspire_Boundaries,2
IBY_perspire_Boundaries,4
IC_perspire_Boundaries,4
IH_perspire_Boundaries,6
IN_perspire_Boundaries,4
IP_perspire_Boundaries,3
IZ_perspire_Boundaries,5
JA_perspire_Boundaries,6
JB_perspire_Boundaries,4
JBR_perspire_Boundaries,5
JC_perspire_Boundaries,6
JCD_perspire_Boundaries,9
JD_perspire_Boundaries,11
JHR_perspire_Boundaries,12
JJ_perspire_Boundaries,8
JNY_perspire_Boundaries,6
JO_perspire_Boundaries,4
JRA_perspire_Boundaries,8
JXD_perspire_Boundaries,13
KGO_perspire_Boundaries,6
KIW_perspire_Boundaries,11
KJ_perspire_Boundaries,9
KJP_perspire_Boundaries,10
LAC_perspire_Boundaries,6
LBP_perspire_Boundaries,5
LZT_perspire_Boundaries,7
LWC_perspire_Boundaries,10
MB_perspire_Boundaries,6
MMK_perspire_Boundaries,19
MNW_perspire_Boundaries,14
MP_perspire_Boundaries,10
MY_perspire_Boundaries,10
NB_perspire_Boundaries,4
ND_perspire_Boundaries,9
NJY_perspire_Boundaries,11
NPP_perspire_Boundaries,8
NUO_perspire_Boundaries,6
NWF_perspire_Boundaries,8
NWW_perspire_Boundaries,12
O_perspire_Boundaries,2
OGB_perspire_Boundaries,2
OGW_perspire_Boundaries,8
OMJ_perspire_Boundaries,10
OPN_perspire_Boundaries,5
P_perspire_Boundaries,5
PAZ_perspire_Boundaries,11
PD_perspire_Boundaries,12
PI_perspire_Boundaries,7
PJW_perspire_Boundaries,13
PQW_perspire_Boundaries,10
PYE_perspire_Boundaries,9
PYO_perspire_Boundaries,7
RJ_perspire_Boundaries,9
RMJ_perspire_Boundaries,14
SF_perspire_Boundaries,4
SH_perspire_Boundaries,10
